id,lastpage,randnumber,g1,g2,g3,g4,kontrolle,gender,alter,trolley,abschluss
1,10,4,,,,N,1,,,N,
2,10,2,,Y,,,1,,,N,
3,10,3,,,Y,,1,2,19,Y,
4,10,1,Y,,,,1,2,23,Y,
5,10,2,,Y,,,1,2,21,Y,
6,10,4,,,,N,1,2,23,Y,
7,10,1,N,,,,1,1,26,Y,
8,10,4,,,,Y,1,2,21,Y,
9,10,2,,Y,,,1,2,,N,
10,7,2,,Y,,,1,,,,
11,10,4,,,,Y,1,1,24,Y,
12,10,1,Y,,,,1,2,21,Y,
13,10,1,Y,,,,1,2,21,N,
14,10,4,,,,N,1,1,25,Y,
15,10,4,,,,Y,1,,,Y,
16,10,2,,Y,,,1,2,21,Y,
17,10,1,Y,,,,1,2,24,Y,
18,7,3,,,Y,,1,1,,,
19,10,4,,,,Y,1,1,21,N,
20,10,4,,,,Y,1,2,23,Y,
21,10,1,Y,,,,1,1,22,Y,
22,10,1,Y,,,,1,1,20,Y,
23,10,4,,,,N,1,1,20,Y,
24,10,4,,,,Y,1,2,21,Y,
25,10,3,,,Y,,1,1,56,N,
26,10,3,,,Y,,1,2,22,Y,
27,10,4,,,,N,1,1,21,Y,
28,10,1,Y,,,,1,2,20,N,
29,10,1,Y,,,,1,2,21,N,
30,10,1,Y,,,,1,1,29,Y,
31,10,1,Y,,,,1,,,Y,
32,10,1,Y,,,,1,2,20,N,
33,10,4,,,,Y,1,1,42,Y,
34,10,2,,Y,,,1,1,20,N,
35,10,2,,N,,,1,2,21,Y,
36,10,2,,Y,,,1,2,20,Y,
37,10,3,,,Y,,1,1,31,Y,
38,10,1,Y,,,,1,1,36,Y,
39,10,3,,,N,,1,1,42,Y,
40,10,4,,,,Y,1,2,28,N,
41,10,3,,,N,,1,2,60,Y,
42,10,3,,,N,,1,1,34,Y,
43,10,2,,Y,,,1,1,35,Y,
44,5,4,,,,,,,,,
45,10,3,,,N,,1,1,,Y,
46,10,3,,,N,,1,1,22,Y,
47,10,1,N,,,,1,1,21,Y,
48,10,4,,,,N,1,1,19,Y,
49,10,3,,,N,,1,1,20,Y,
50,10,1,Y,,,,1,2,19,Y,
51,10,4,,,,Y,1,2,20,Y,
52,10,4,,,,N,1,2,18,Y,
53,10,1,Y,,,,1,2,20,Y,
54,10,1,Y,,,,1,1,25,Y,
55,10,1,Y,,,,1,1,20,Y,
56,10,2,,N,,,1,2,21,Y,
57,10,1,Y,,,,1,1,21,Y,
58,10,2,,Y,,,1,2,21,Y,
59,10,4,,,,N,1,2,36,Y,
60,10,1,N,,,,1,1,23,Y,
61,10,1,N,,,,1,2,22,Y,
62,10,3,,,N,,1,1,26,Y,
63,10,2,,Y,,,1,2,22,Y,
64,10,2,,Y,,,1,2,22,Y,
65,10,2,,Y,,,1,2,23,Y,
66,5,4,,,,,,,,,
67,10,1,N,,,,1,2,23,Y,
68,5,4,,,,,,,,,
69,10,4,,,,Y,1,2,22,Y,
70,10,1,Y,,,,1,2,22,Y,
71,4,3,,,,,,,,,
72,10,2,,Y,,,1,2,26,Y,
73,3,2,,,,,,,,,
74,10,4,,,,Y,1,2,24,Y,
75,10,3,,,N,,1,2,24,Y,
76,10,3,,,N,,1,2,22,Y,
77,2,1,,,,,,,,,
78,10,3,,,Y,,1,1,22,Y,
79,9,2,,Y,,,1,2,38,N,
80,10,1,N,,,,1,2,21,Y,
81,4,3,,,,,,,,,
82,5,4,,,,,,,,,
83,10,1,Y,,,,1,2,24,Y,
84,10,4,,,,Y,1,2,,Y,
85,10,2,,Y,,,1,2,22,Y,
86,10,2,,Y,,,1,2,25,N,
87,10,1,Y,,,,1,2,22,Y,
88,10,3,,,N,,1,1,23,Y,
89,10,4,,,,N,1,1,23,Y,
90,10,3,,,Y,,1,2,22,N,
91,10,2,,Y,,,1,2,21,Y,
92,10,4,,,,N,1,2,22,N,
93,10,2,,Y,,,1,2,21,Y,
94,10,1,Y,,,,1,2,23,Y,
95,10,4,,,,Y,1,2,23,Y,
96,,,,,,,,,,,
97,10,4,,,,Y,1,2,22,N,
98,10,3,,,Y,,1,2,24,N,
99,10,1,Y,,,,1,2,53,N,
100,10,3,,,N,,1,1,23,N,
101,10,4,,,,N,1,2,,N,
102,10,2,,Y,,,1,1,23,Y,
103,10,3,,,Y,,1,1,,Y,
104,10,4,,,,Y,1,2,24,Y,
105,10,1,N,,,,1,2,23,N,
106,10,2,,Y,,,1,2,22,N,
107,10,1,Y,,,,1,2,,N,
108,10,2,,Y,,,1,2,,N,
109,10,1,Y,,,,1,1,26,N,
110,10,3,,,N,,1,2,,N,
111,10,2,,N,,,1,1,26,N,
112,10,3,,,N,,3,2,25,Y,
113,10,4,,,,N,1,1,23,N,
114,10,3,,,Y,,1,2,23,Y,
115,10,2,,Y,,,1,1,23,Y,
116,10,3,,,Y,,1,2,22,N,
117,10,2,,Y,,,1,1,23,N,
118,10,4,,,,Y,1,1,22,Y,
119,10,3,,,Y,,1,1,,N,
120,10,4,,,,Y,1,1,34,Y,
121,10,3,,,N,,1,1,22,Y,
122,10,1,N,,,,1,2,24,N,
123,10,4,,,,Y,1,2,25,Y,
124,10,1,Y,,,,1,1,24,Y,
125,10,2,,Y,,,1,1,27,Y,
126,10,2,,N,,,1,1,21,Y,
127,10,2,,Y,,,1,2,27,Y,
128,2,1,,,,,,,,,
129,10,3,,,N,,1,2,23,Y,
130,10,1,N,,,,1,1,26,Y,
131,10,3,,,N,,1,2,32,N,
132,10,3,,,N,,1,1,26,Y,
133,10,1,Y,,,,1,1,,Y,
134,10,1,Y,,,,1,2,,Y,
135,10,1,Y,,,,1,2,24,N,
136,10,2,,Y,,,1,1,24,Y,
137,10,3,,,Y,,1,2,23,Y,
138,4,3,,,,,,,,,
139,10,4,,,,Y,1,2,18,Y,
140,10,4,,,,Y,1,2,25,Y,
141,10,2,,Y,,,1,2,,Y,
142,5,4,,,,,,,,,
143,5,4,,,,,,,,,
144,10,1,Y,,,,1,2,25,Y,
145,9,4,,,,Y,1,,,Y,
